ID_Segnalazione,Timestamp_UTC,Data,Ora,Categoria,Categoria_Emoji,Urgenza,Descrizione,Nome_Segnalante,Email_Segnalante,Lat,Long,Indirizzo_Completo,Via,Numero_Civico,CAP,Comune,Provincia,Regione,Fonte_Posizione,Accuratezza_GPS_m,Destinatari,Canale_Email,Canale_WhatsApp,Canale_Twitter,Canale_Facebook,Ha_Immagine,Dimensioni_Immagine,Testo_Messaggio,URL_Segnalazione,URL_Immagine,Stato,Note_Ufficio,Operatore,Data_Presa_Carico,Data_Risoluzione
SGN-1772384027606,2026-03-01T16:53:47.606Z,01/03/2026,17:53,Alberi e verde pubblico,🌳,Alta,"Fusce mollis faucibus massa, at dapibus nisl. Etiam tellus ante, pellentesque eget mattis nec, consectetur in erat. Nulla ac turpis pharetra, rutrum felis vel, faucibus sapien.",Gianni,gbvitrano@gmail.com,38.117498,13.369651,"Quid, 52, Piazza Marina, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia",Piazza Marina,52,90133,Palermo,Palermo,Sicilia,Manuale,,email,Sì,No,No,No,Sì,1024x1024,"📍 Segnalazione Civica — 🔴 URGENTE — Alberi e verde pubblico
📌 Luogo: Quid, 52, Piazza Marina, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia
📝 Note: Fusce mollis faucibus massa, at dapibus nisl. Etiam tellus ante, pellentesque eget mattis nec, consectetur in erat. Nulla ac turpis pharetra, rutrum felis vel, faucibus sapien.
👤 Segnalato da: Gianni
🕐 01/03/2026, 17:53:47
#SegnalaOra #Alberieverdepubblico
SGN-1772384027606

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://gbvitrano.github.io/Segnalazioni/index.html?risolvi=cbea5fc9-1c38-4525-b6c5-67df2541a674
──────────────────────────────────────",https://gbvitrano.github.io/Segnalazioni/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772384027606.jpg,Nuova,,,,
SGN-1772385725545,2026-03-01T17:22:05.545Z,01/03/2026,18:22,Inquinamento acustico,🔊,Normale,"Fusce mollis faucibus massa, at dapibus nisl. Etiam tellus ante, pellentesque eget mattis nec, consectetur in erat. Nulla ac turpis pharetra, rutrum felis vel, faucibus sapien.",Gianni,gbvitrano@gmail.com,38.119393,13.33865,"Cantieri Culturali alla Zisa, 4, Via Paolo Gili, Olivuzza, V Circoscrizione, Palermo, Sicilia, 90138, Italia",Via Paolo Gili,4,90138,Palermo,Palermo,Sicilia,Manuale,,email,Sì,No,No,No,Sì,1280x853,"📍 Segnalazione Civica — 🟡 Inquinamento acustico
📌 Luogo: Cantieri Culturali alla Zisa, 4, Via Paolo Gili, Olivuzza, V Circoscrizione, Palermo, Sicilia, 90138, Italia
📝 Note: Fusce mollis faucibus massa, at dapibus nisl. Etiam tellus ante, pellentesque eget mattis nec, consectetur in erat. Nulla ac turpis pharetra, rutrum felis vel, faucibus sapien.
👤 Segnalato da: Gianni
🕐 01/03/2026, 18:22:05
#SegnalaOra #Inquinamentoacustico
SGN-1772385725545

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://gbvitrano.github.io/Segnalazioni/index.html?risolvi=0ce2ec72-cb97-4860-a16b-704141ed03d7
──────────────────────────────────────",https://gbvitrano.github.io/Segnalazioni/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772385725545.jpg,Risolta,,,,01/03/2026
SGN-1772391377684,2026-03-01T18:56:17.684Z,01/03/2026,19:56,Deiezioni non raccolte,🐕,Alta,DINO,TONY PITONY,cirospat@gmail.com,38.117516,13.368902,"Piazza Marina, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia",Piazza Marina,,90133,Palermo,Palermo,Sicilia,Manuale,,email,Sì,No,No,No,Sì,335x745,"📍 Segnalazione Civica — 🔴 URGENTE — Deiezioni non raccolte
📌 Luogo: Piazza Marina, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia
📝 Note: DINO
👤 Segnalato da: TONY PITONY
🕐 01/03/2026, 19:56:17
#SegnalaOra #Deiezioninonraccolte
SGN-1772391377684

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://gbvitrano.github.io/Segnalazioni/index.html?risolvi=2d8433d2-2fe9-4e8a-9ce4-5866c053c84b
──────────────────────────────────────",https://gbvitrano.github.io/Segnalazioni/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772391377684.jpg,Nuova,,,,
SGN-1772403049572,2026-03-01T22:10:49.572Z,01/03/2026,23:10,Perdite idriche,🚰,Normale,Tesr,Denny,dennisangemi@gmail.com,37.500911,15.085792,"14, Piazza currò, Giudecca, Centro storico, Catania, Sicilia, 95121, Italia",Piazza currò,14,95121,Catania,Catania,Sicilia,Manuale,,AMAP S.p.A.,Sì,No,No,No,No,,"📍 Segnalazione Civica — 🟡 Perdite idriche
📌 Luogo: 14, Piazza currò, Giudecca, Centro storico, Catania, Sicilia, 95121, Italia
📝 Note: Tesr
🏛️ Destinatario: AMAP S.p.A.
👤 Segnalato da: Denny
🕐 01/03/2026, 23:10:49
#SegnalaOra #Perditeidriche
SGN-1772403049572

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://segnalaora.coseerobe.it/index.html?risolvi=479572d3-f6bd-4096-a07e-70d3d35fa31f
──────────────────────────────────────",https://segnalaora.coseerobe.it/index.html,,Nuova,,,,
SGN-1772403840486,2026-03-01T22:24:00.486Z,01/03/2026,23:24,Rifiuti abbandonati,🗑️,Normale,,gianni,gbvitrano@gmail.com,38.113717,13.363774,"7, Piazza Meschita, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia",Piazza Meschita,7,90133,Palermo,Palermo,Sicilia,Manuale,,gb.vitrano@comune.palermo.it,No,No,No,No,Sì,1024x1024,"📍 Segnalazione Civica — 🟡 Rifiuti abbandonati
📌 Luogo: 7, Piazza Meschita, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia
👤 Segnalato da: gianni
🕐 01/03/2026, 23:24:00
#SegnalaOra #Rifiutiabbandonati
SGN-1772403840486

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://segnalaora.coseerobe.it/index.html?risolvi=b74f339f-c7e6-40ad-9c09-40fa1c93fcdd
──────────────────────────────────────",https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772403840486.jpg,Risolta,,,,01/03/2026
SGN-1772404208983,2026-03-01T22:30:08.983Z,01/03/2026,23:30,Illuminazione pubblica guasta,💡,Normale,,gianni,gbvitrano@gmail.com,38.109934,13.379057,"II Circoscrizione, Palermo, Sicilia, 90123, Italia",,,90123,Palermo,Palermo,Sicilia,Manuale,,gb.vitrano@comune.palermo.it,No,No,No,No,Sì,1024x1024,"📍 Segnalazione Civica — 🟡 Illuminazione pubblica guasta
📌 Luogo: II Circoscrizione, Palermo, Sicilia, 90123, Italia
👤 Segnalato da: gianni
🕐 01/03/2026, 23:30:08
#SegnalaOra #Illuminazionepubblicaguasta
SGN-1772404208983

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://segnalaora.coseerobe.it/index.html?risolvi=6f30e09f-a3ec-417c-b615-38ccf27596d8
──────────────────────────────────────",https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772404208983.jpg,Risolta,,,,01/03/2026
SGN-1772405723764,2026-03-01T22:55:23.764Z,01/03/2026,23:55,Veicoli abbandonati,🛺,Normale,,gianni,gbvitrano@gmail.com,38.119076,13.324142,"IV Circoscrizione, Palermo, Sicilia, 90135, Italia",,,90135,Palermo,Palermo,Sicilia,Manuale,,gb.vitrano@comune.palermo.it,No,No,No,No,Sì,1024x1024,"📍 Segnalazione Civica — 🟡 Veicoli abbandonati
📌 Luogo: IV Circoscrizione, Palermo, Sicilia, 90135, Italia
👤 Segnalato da: gianni
🕐 01/03/2026, 23:55:23
#SegnalaOra #Veicoliabbandonati
SGN-1772405723764

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://segnalaora.coseerobe.it/index.html?risolvi=d35901de-8ade-4e03-9ccc-a0f9a1e8038a
──────────────────────────────────────",https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772405723764.jpg,Risolta,,,,06/03/2026
SGN-1772405837666,2026-03-01T22:57:17.666Z,01/03/2026,23:57,Immobile pericolante,🏚️,Bassa,,gianni,gbvitrano@gmail.com,38.103949,13.389459,"Romagnolo, II Circoscrizione, Palermo, Sicilia, 90121, Italia",,,90121,Palermo,Palermo,Sicilia,Manuale,,gb.vitrano@comune.palermo.it,No,No,No,No,Sì,1024x1024,"📍 Segnalazione Civica — 🟢 Immobile pericolante
📌 Luogo: Romagnolo, II Circoscrizione, Palermo, Sicilia, 90121, Italia
👤 Segnalato da: gianni
🕐 01/03/2026, 23:57:17
#SegnalaOra #Immobilepericolante
SGN-1772405837666

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://segnalaora.coseerobe.it/index.html?risolvi=62ebb63a-591d-4265-8230-26a743b2b0bf
──────────────────────────────────────",https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772405837666.jpg,Nuova,,,,
SGN-1772438872691,2026-03-02T08:07:52.691Z,02/03/2026,09:07,Altro,✏️,Normale,,gianni,gbvitrano@gmail.com,38.11539,13.365577,"Chiesa di Sant'Anna la Misericordia, Piazza Sant'Anna, Kalsa, I Circoscrizione, Palermo, Sicilia, 90140, Italia",Piazza Sant'Anna,,90140,Palermo,Palermo,Sicilia,Manuale,,Altro,Sì,No,No,No,Sì,100x100,"📍 Segnalazione Civica — 🟡 Altro
📌 Luogo: Chiesa di Sant'Anna la Misericordia, Piazza Sant'Anna, Kalsa, I Circoscrizione, Palermo, Sicilia, 90140, Italia
🏛️ Destinatario: Altro
👤 Segnalato da: gianni
🕐 02/03/2026, 09:07:52
#SegnalaOra #Altro
SGN-1772438872691

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://segnalaora.coseerobe.it/index.html?risolvi=a9eada74-7d37-4202-bc75-2f56b52c53bb
──────────────────────────────────────",https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772438872691.jpg,Nuova,,,,
SGN-1772451657664,2026-03-02T11:40:57.664Z,02/03/2026,12:40,Altro,fa-solid fa-ellipsis,Alta,"Etiam eleifend ullamcorper elit, ac pulvinar neque vestibulum imperdiet. Aenean tincidunt, arcu et rhoncus volutpat, dui leo aliquet massa, vitae tincidunt lorem felis eget risus. Maecenas nec ipsum a eros tempor ornare sit amet in elit. Etiam vehicula tortor eget elit dapibus consectetur. ",Gianni,gbvitrano@gmail.com,38.114284,13.364633,"125, Via Roma, Kalsa, I Circoscrizione, Palermo, Sicilia, 90140, Italia",Via Roma,125,90140,Palermo,Palermo,Sicilia,Manuale,,Altro,Sì,No,No,No,Sì,1024x1024,"📍 Segnalazione Civica — 🔴 URGENTE — Altro
📌 Luogo: 125, Via Roma, Kalsa, I Circoscrizione, Palermo, Sicilia, 90140, Italia
📝 Note: Etiam eleifend ullamcorper elit, ac pulvinar neque vestibulum imperdiet. Aenean tincidunt, arcu et rhoncus volutpat, dui leo aliquet massa, vitae tincidunt lorem felis eget risus. Maecenas nec ipsum a eros tempor ornare sit amet in elit. Etiam vehicula tortor eget elit dapibus consectetur. 
🏛️ Destinatario: Altro
👤 Segnalato da: Gianni
🕐 02/03/2026, 12:40:57
#SegnalaOra #Altro
SGN-1772451657664

──────────────────────────────────────
Per segnare questa segnalazione come RISOLTA:
https://segnalaora.coseerobe.it/mappa.html?risolvi=1f1733b4-fdcf-49db-bc8a-d6533777f42b
──────────────────────────────────────",https://segnalaora.coseerobe.it/,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772451657664.jpg,Nuova,,,,
